2.1.1  Bevolking naar leeftijdsgroepen en geslacht, 1 januari 1900-2017;;;;;;;;
;;;;;;;;
;leeftijdsgroep in jaren;;;;;geslacht;;
1 januari;0-19;20-34;35-49;50-64;65+;mannen;vrouwen;totaal
;;;;;;;;
1940;245414;201904;179391;117563;56322;389394;411200;800594
1950;255102;199490;178759;136755;65728;405813;430021;835834
1960;268942;174481;178392;153699;94088;421724;447878;869602
1970;225574;192179;150158;148408;115144;403140;428323;831463
1980;160303;206570;115465;120987;113642;346980;369987;716967
1990;134421;221267;144084;91527;103922;338383;356838;695221
2000;149825;210586;177738;103814;89326;359572;371717;731289
2010;158698;205689;186273;131673;85440;378297;389476;767773
2017;166196;244777;182662;148774;102543;418146;426806;844952
;;;;;;;;bron: OIS
